Wavenumber	B4C	Si	SiB6	SiC
2242.335938	0.097928	0.479978	0.306177	794408.6875
2239.986328	0.103889	0.478291	0.311824	793710.8125
2237.634766	0.107266	0.470388	0.304362	794054.0625
2235.28125	0.106631	0.468151	0.291597	790296.6875
2232.929688	0.106816	0.469452	0.298395	789497.25
2230.576172	0.107647	0.468024	0.301738	787383.1875
2228.220703	0.11243	0.469651	0.308165	786535
2225.865234	0.11233	0.473493	0.316759	785932.4375
2223.509766	0.113251	0.478072	0.311705	784718.8125
2221.154297	0.113457	0.47768	0.308635	783184.3125
2218.796875	0.115055	0.472001	0.301824	780344.9375
2216.439453	0.112444	0.475825	0.298676	780780.4375
2214.082031	0.118001	0.476658	0.310482	776353.125
2211.722656	0.120731	0.47924	0.320351	775203.9375
2209.363281	0.124534	0.48537	0.326466	773518.25
2207.001953	0.122888	0.490945	0.337436	771744.4375
2204.640625	0.119311	0.494585	0.327326	771860.5
2202.279297	0.117572	0.491106	0.325806	769199.9375
2199.916016	0.118225	0.483559	0.322179	767891.0625
2197.552734	0.118075	0.480384	0.320153	767476.8125
2195.189453	0.121455	0.477479	0.32121	765273.25
2192.824219	0.122607	0.481802	0.316665	761856.0625
2190.458984	0.122883	0.487452	0.315725	761841.0625
2188.09375	0.123103	0.490189	0.322469	759708.375
2185.726563	0.122656	0.492137	0.333967	758354.3125
2183.359375	0.125538	0.495172	0.345713	759231.375
2180.992188	0.126342	0.495232	0.34234	755937.625
2178.623047	0.12809	0.498127	0.337482	753706.375
2176.253906	0.131317	0.498211	0.327717	751993.375
2173.884766	0.131086	0.495099	0.313414	749718
2171.513672	0.130642	0.490378	0.29496	747746.4375
2169.142578	0.13126	0.488999	0.291988	746152.375
2166.769531	0.128558	0.484715	0.311883	747680.8125
2164.396484	0.127002	0.489387	0.314647	742558.875
2162.023438	0.123264	0.500088	0.311634	743123.5625
2159.650391	0.124643	0.505494	0.31933	739741.125
2157.275391	0.126282	0.504195	0.315732	739669.125
2154.898438	0.120975	0.50756	0.31139	736592.5625
