Wavenumber	B4C	Si	SiB6	SiC	SiBC
2437.405273	75997.52344	5231.250488	11032.25	950667.625	2489.031495
2435.111328	75596.54688	5240.643066	10956.08398	948762.5	2489.718068
2432.81543	76165.17188	5227.15625	11046.60742	946953.0625	2470.675701
2430.519531	76422.04688	5101.519531	10990.0791	946156.1875	2481.55461
2428.223633	75942.89063	5175.166992	10927.05078	944118.6875	2466.837245
2425.925781	75367.14844	5271.625	10997.91211	941318.3125	2468.713827
2423.62793	75734.97656	5264.67041	10922.94824	941433	2471.990336
2421.329102	75754.54688	5192.460449	10930.68555	939164.5	2468.344066
2419.030273	75697.98438	5220.326172	11018.87891	939556.8125	2460.335578
2416.730469	75891.45313	5211.216797	10991.79785	935879	2459.73748
2414.429688	75369.76563	5212.979004	10886.49023	933147.5625	2457.405344
2412.128906	75336.14844	5261.455566	10860.54688	931927.6875	2446.53297
2409.827148	75368.79688	5295.78418	10938.87988	929412.75	2441.089764
2407.524414	75189.69531	5260.602539	10972.65137	929341	2445.550741
2405.220703	75233.20313	5220.013184	10878.31934	927231.8125	2435.852345
2402.917969	74800.3125	5228.278809	10924.02246	923142.3125	2435.95722
2400.613281	74991.42969	5217.012207	10949.08691	922384.375	2429.721335
2398.306641	74878.76563	5281.668457	10971.9668	920710.375	2413.025593
2396.001953	74568.83594	5319.181641	11029.52637	917704.75	2413.184536
2393.695313	74540.89063	5235.274902	10885.44922	917832.125	2406.525949
2391.388672	74334.15625	5139.496094	10931.0791	915290.4375	2403.408103
2389.080078	74390.77344	5231.180176	10854.27344	912887.75	2394.947258
2386.771484	74202.60156	5210.182129	10947.53418	906764.1875	2390.410227
2384.462891	74334.98438	5226.005859	10960.62402	907743	2377.2276
2382.152344	74346.07031	5214.76123	10935.82422	903711	2383.378865
2379.841797	74167.78906	5164.568848	10861.26465	904225.6875	2375.75615
2377.53125	74067.47656	5244.212402	10929.53125	902858.9375	2369.373258
2375.21875	74263.52344	5207.016602	10952.33984	901054.875	2365.931951
2372.90625	74361.07031	5289.844238	10894.05273	901504.75	2363.859029
2370.59375	73716.0625	5218.070313	11013.04395	898995.125	2358.57039
2368.279297	74155.125	5220.890137	10951.5293	895098.4375	2354.416806
2365.964844	73688.75781	5210.746094	10960.25879	891543.125	2350.034409
2363.650391	73396.5	5217.884766	10924.70801	888406.5	2347.372594
2361.333984	73643.09375	5193.711914	11038.15137	889155.75	2335.602506
2359.017578	73169.69531	5191.137207	10810.49609	888214.4375	2334.739234
2356.701172	73237.09375	5174.537598	10947.64063	883895.5	2328.314067
2354.382813	73521.25	5250.70752	11122.45606	883278.5625	2330.38225
2352.064453	73900.11719	5245.960449	10956.43262	884513.25	2323.696854
2349.744141	73510.16406	5205.641602	10999.62891	880937.25	2324.086649
2347.425781	73500.84375	5311.910645	10916.71387	878085.25	2317.515519
2345.103516	73575.55469	5175.708496	10860.77832	879302.875	2307.833818
2342.783203	73617.89844	5245.303711	10837.18555	875769.9375	2310.444324
2340.460938	73078.78125	5281.478516	10892.20606	872293.875	2306.051172
2338.138672	72831.67188	5163.700684	10998.86231	870735.75	2304.111705
2335.816406	73158.26563	5273.054199	10790.15527	868255.125	2299.502505
2333.492188	73008.08594	5273.686035	10943.03711	864891.5	2304.291383
2331.167969	73270.96875	5419.51123	11116.2627	864214.125	2306.302692
2328.841797	73414.35156	5541.597656	11159.29102	861913.5625	2315.603286
2326.515625	73030.95313	5571.171875	11098.03027	861618.875	2340.075531
2324.189453	72682.15625	5404.07959	11163.60254	859920.875	2334.170586
2321.863281	72946.94531	5306.911133	10795.13867	859907.0625	2301.825513
2319.535156	72915.17188	5266.717773	10889.75391	855365.5	2283.587794
2317.207031	73044.45313	5321.028809	10901.64453	855458.0625	2285.626578
2314.876953	72527.50781	5230.406738	10873.81348	853533.6875	2277.042889
2312.546875	73021.63281	5249.285645	10926.47266	852571.8125	2283.215789
2310.216797	72576.85156	5277.807617	10860.03125	848177.6875	2279.304229
2307.884766	72371.45313	5291.29834	10804.35059	845570.5	2279.720972
2305.552734	72350.57031	5287.627441	10744.41309	844263	2273.57705
2303.220703	72236.44531	5238.942383	10877.42773	843895	2276.696927
2300.886719	72809.19531	5312.43457	10715.71094	842281.0625	2277.82023
2298.552734	72271.88281	5286.26416	10779.03027	839684.625	2272.011432
2296.21875	72307.77344	5314.722168	10726.65918	838329.625	2272.885483
2293.882813	71963.59375	5265.012695	10686.09375	835581.4375	2269.268269
2291.546875	72241.40625	5313.794434	10582.40723	834326.6875	2264.797287
2289.210938	72071.82813	5242.713867	10799.75391	831469.8125	2270.175323
2286.873047	72147.28125	5239.060547	10675.76953	827687.125	2267.99627
2284.535156	72074.04688	5310.26123	10658.78516	829326.8125	2266.325222
2282.197266	72234.95313	5299.106445	10731.60449	824811.3125	2258.219002
2279.857422	71980.04688	5334.97998	10595.98731	824577.3125	2258.01873
2277.517578	71865.23438	5390.063965	10731.81445	822364.6875	2259.827381
2275.177734	72209.74219	5265.67627	10699.87598	819398.1875	2261.663118
2272.835938	71777.78906	5342.102539	10632.71875	818521.8125	2255.275381
2270.494141	71725.02344	5183.640137	10582.67773	815125.5625	2260.648197
2268.150391	72135.41406	5331.544434	10563.61133	816155.625	2262.401938
2265.808594	72152.96875	5295.864258	10664.04102	813710.25	2261.194065
2263.462891	72049.98438	5332.728516	10536.17481	810361.8125	2258.091544
2261.119141	71850.02344	5406.889648	10472.35352	807696.5625	2258.305587
2258.773438	71869.75	5389.336914	10693.16504	807718.75	2256.382305
2256.427734	71876.67188	5378.187988	10530.2334	806128.6875	2271.313899
2254.080078	71656.67188	5379.828125	10485.64063	803588.0625	2268.102972
2251.732422	71842.55469	5407.026855	10523.07715	802782.6875	2265.173786
2249.384766	72174.17188	5368.198242	10617.98242	803081.6875	2262.195449
2247.035156	71989.375	5345.356934	10746.8916	798310.875	2271.168328
2244.6875	71728.07031	5442.769531	10434.14063	794844	2269.573395
2242.335938	71861.55469	5431.620605	10520.47559	794408.6875	2270.537069
2239.986328	71897.10938	5298.178711	10636.53613	793710.8125	2269.263376
2237.634766	72148.46094	5263.687012	10628.1416	794054.0625	2275.080855
2235.28125	72028.72656	5354.631348	10476.26856	790296.6875	2279.16033
2232.929688	72192.75	5382.831543	10550.79883	789497.25	2278.315838
2230.576172	71980.64844	5268.67627	10619.97363	787383.1875	2284.12114
2228.220703	72049	5326.618164	10487.3457	786535	2289.255659
2225.865234	72175.6875	5386.648926	10622.31543	785932.4375	2296.364727
2223.509766	72335.20313	5321.409668	10481.27051	784718.8125	2302.694238
2221.154297	72569.9375	5497.055664	10701.03906	783184.3125	2307.652865
2218.796875	72353.74219	5430.760254	10655.51172	780344.9375	2314.754051
2216.439453	72570.29688	5476.903809	10566.53418	780780.4375	2315.45273
2214.082031	72347.85156	5433.973145	10587.85254	776353.125	2325.744665
2211.722656	72190.17188	5434.517578	10488.3457	775203.9375	2316.99779
2209.363281	72272.00781	5541.007324	10588.07129	773518.25	2331.01873
2207.001953	72494.65625	5474.791992	10554.28613	771744.4375	2336.511006
2204.640625	72352.92188	5465.79248	10414.63672	771860.5	2333.016963
2202.279297	72535.17188	5381.640625	10585.21289	769199.9375	2331.609519
2199.916016	72328.94531	5454.15625	10601.19043	767891.0625	2353.741462
2197.552734	72538.58594	5466.327148	10679.57422	767476.8125	2357.160502
2195.189453	72774.53906	5532.429199	10584.46387	765273.25	2358.436695
2192.824219	72769.28125	5361.652832	10596.19434	761856.0625	2366.556628
2190.458984	72558.96094	5591.582031	10630.11426	761841.0625	2375.239248
2188.09375	72363.54688	5443.077148	10651.33203	759708.375	2370.964942
2185.726563	72530.57031	5493.260254	10506.68555	758354.3125	2372.210726
2183.359375	72855.89844	5453.646484	10633.53125	759231.375	2386.878429
2180.992188	72372.32031	5538.636719	10641.00098	755937.625	2386.510038
2178.623047	72682.71875	5510.641602	10602.02539	753706.375	2386.735799
2176.253906	72805.10156	5504.820313	10631.65527	751993.375	2396.310731
2173.884766	72502.3125	5554.90918	10635.95117	749718	2400.210335
2171.513672	72444.33594	5556.458984	10763.62305	747746.4375	2401.349932
2169.142578	72483.375	5503.186035	10627.66211	746152.375	2414.506912
2166.769531	72793.24219	5540.58252	10751.04395	747680.8125	2413.059775
2164.396484	72165.20313	5505.255859	10763.72363	742558.875	2408.819517
2162.023438	72175.82031	5554.215332	10711.08887	743123.5625	2419.708057
2159.650391	72272.77344	5554.706543	10795.37402	739741.125	2421.339777
2157.275391	72361.24219	5560.460449	10729.07324	739669.125	2429.591116
2154.898438	72224.42969	5616.726074	10703.85254	736592.5625	2425.102357
2152.523438	72067.70313	5555.12207	10744.92676	736636.125	2431.771682
2150.146484	72126.67188	5608.199707	10601.91406	733486.3125	2426.878364
2147.767578	72070.99219	5626.546387	10743.93262	731257.1875	2438.034991
2145.390625	71943.85156	5580.759277	10704.01563	728291.4375	2437.855701
2143.011719	71508.875	5643.23877	10816.49512	729478.125	2435.917397
2140.630859	71712.875	5570.157227	10798.63867	726903.125	2434.139767
2138.25	71460.94531	5606.345215	10746.13281	724354.6875	2440.799652
2135.869141	71524.13281	5552.214355	10737.75488	722912.1875	2433.24668
2133.488281	71262.9375	5617.775879	10772.41406	721475.6875	2438.184921
2131.105469	71147.74219	5650.768555	10718.90918	719927.6875	2440.837411
2128.722656	70836.4375	5563.100586	10828.03223	718288.125	2432.552273
2126.337891	70835.72656	5641.184082	10728.39551	714758.625	2440.085697
2123.953125	70927.26563	5705.591797	10714.78516	713904.5625	2433.191171
2121.568359	70702.21875	5632.65625	10878.31152	711714.5	2422.363155
2119.183594	70345.26563	5644.63623	10794.45996	711136.1875	2433.095105
2116.796875	70216.86719	5570.711914	10805.97852	708645.3125	2435.509335
2114.408203	70244.5625	5642.392578	10937.91602	707063.75	2429.104033
2112.021484	69866.04688	5627.137695	10846.78809	706312.125	2427.869269
2109.632813	69574.60156	5688.29248	10799.66797	704790.5625	2421.452298
2107.242188	69813.78125	5625.948242	10940.9043	704225.0625	2425.550254
2104.851563	69461.84375	5688.112305	10837.29883	701451.75	2430.63927
2102.460938	69430.07813	5697.955566	10917.79004	700231.75	2421.43797
2100.070313	68889.22656	5648.205078	10867.5625	698073.625	2415.753466
2097.677734	69244.28906	5629.834961	10852.89453	694587.375	2422.279608
2095.285156	68724.6875	5632.370605	10782.86328	693966.6875	2411.287913
2092.890625	68385.02344	5664.149414	10777.62598	692863.75	2414.337308
2090.496094	68395.33594	5635.347168	10751.50781	689041.4375	2407.497946
2088.101563	68332.5625	5622.21875	10818.30469	691761.875	2410.042219
2085.707031	68430.51563	5749.977051	10736.87988	688778.8125	2405.624697
2083.310547	68340.63281	5683.615723	10959.0791	688100.8125	2398.622422
2080.912109	68323.78906	5642.323242	10845.32813	687483.625	2399.253139
2078.515625	67880.52344	5712.616699	10825.47656	685247.5625	2390.0136
2076.117188	67576.13281	5769.317383	10848.37012	684039.3125	2379.151074
2073.716797	67599.10156	5739.496094	10897.29883	682882.8125	2383.03105
2071.316406	67262.65625	5744.068359	10718.06543	679487.1875	2389.961559
2068.916016	67213.82813	5734.057129	10815.94629	681407.75	2375.401758
2066.515625	66735.04688	5710.516602	10903.35742	676448.5625	2378.20217
2064.113281	66556.28125	5677.62207	10698.25586	676332.9375	2368.868128
2061.710938	66653.34375	5724.864746	10806.45703	675919.625	2360.013614
2059.306641	66559.99219	5652.455566	10818.89746	675207	2350.847592
2056.902344	66299.25781	5841.102539	10776.21582	671003.75	2346.335557
2054.498047	66201.88281	5712.5625	10834.39648	670014.1875	2348.083935
2052.091797	65830.1875	5761.81543	10831.22461	668188.4375	2341.384506
2049.685547	66152.73438	5841.168945	10771.94922	668193.3125	2334.330896
2047.279297	65551.71094	5909.049805	10608.84082	666182.0625	2325.881504
2044.871094	65172.20313	5816.980469	10661.80469	664685.875	2317.119472
2042.462891	65540.29688	5844.342285	10714.73535	662991.125	2311.029555
2040.054688	65624.86719	5741.966309	10765.55859	660940.375	2303.805909
